8896,6666,1581893081,Carl Sassenrath
8896,7777,1581893118,Donald Knuth
7777,8896,1581893175,Leonhard Euler
7777,6666,1581893260,Michael Faraday
7777,8896,1581893300,Thales of Miletus
7777,6666,1581893330,Albert Einstein
8896,6666,1581893233,Richard Stallman
8896,7777,1581893277,Archimedes
8896,7777,1581893341,Carl Sassenrath
7777,6666,1581893364,Albert Einstein
7777,8896,1581893431,Marie Curie
7777,6666,1581893487,Thales of Miletus
8896,7777,1581893457,Richard Stallman
8896,7777,1581893511,Richard Stallman
7777,8896,1581893548,Brian Kernighan
7777,8896,1581893596,Isaac Newton
8896,7777,1581893589,Andre-Marie Ampere
7777,6666,1581893640,Marie Curie
7777,6666,1581893683,Nicolas Carnot
8896,6666,1581893662,Andre-Marie Ampere
7777,8896,1581893744,Brian Kernighan
7777,8896,1581893798,Thales of Miletus
7777,8896,1581893870,Michael Faraday
7777,6666,1581893918,Marie Curie
7777,8896,1581893959,Isaac Newton
7777,8896,1581894044,Nicolas Carnot
7777,6666,1581894093,Isaac Newton
7777,6666,1581894136,Leonhard Euler
7777,8896,1581894203,Linus Torvalds
8896,6666,1581894251,Aristotle
7777,6666,1581894256,Isaac Newton
7777,8896,1581894306,Brian Kernighan
7777,8896,1581894377,Isaac Newton
7777,6666,1581894440,Marie Curie
7777,6666,1581894474,Marie Curie
8896,7777,1581894486,Nicolaus Copernicus
7777,6666,1581894505,Thales of Miletus
8896,6666,1581894559,Carl Sassenrath
7777,8896,1581894572,Friedrich Gauss
7777,6666,1581894636,Albert Einstein
7777,6666,1581894677,Thales of Miletus
8896,7777,1581894686,Richard Stallman
7777,8896,1581894727,Linus Torvalds
8896,7777,1581894727,Nicolaus Copernicus
7777,6666,1581894787,Leonhard Euler
7777,6666,1581894819,Friedrich Gauss
8896,7777,1581894858,Carl Sassenrath
7777,6666,1581894883,Albert Einstein
7777,8896,1581894929,Michael Faraday
7777,6666,1581894961,Friedrich Gauss
7777,6666,1581895046,Albert Einstein
8896,6666,1581895069,Nicolaus Copernicus
7777,6666,1581895108,Albert Einstein
7777,6666,1581895143,Thales of Miletus
7777,6666,1581895185,Nicolas Carnot
8896,7777,1581895189,Aristotle
7777,6666,1581895218,Nicolas Carnot
7777,6666,1581895294,Friedrich Gauss
6666,7777,1581895329,Heinrich Hertz
7777,8896,1581895349,Marie Curie
7777,8896,1581895419,Nicolas Carnot
8896,6666,1581895317,Bjarne Stroustrup
8896,7777,1581895360,Graham Bell
8896,6666,1581895409,Andre-Marie Ampere
8896,7777,1581895449,Donald Knuth
7777,8896,1581895480,Thales of Miletus
8896,6666,1581891479,Daniel Bernoulli
8896,7777,1581891643,Aristotle
8896,6666,1581892239,Nicolaus Copernicus
8896,7777,1581892630,Donald Knuth
8896,6666,1581892792,Aristotle
8896,7777,1581892993,Andre-Marie Ampere
8896,6666,1581893194,Graham Bell
8896,7777,1581893380,Donald Knuth
8896,7777,1581893736,Graham Bell
8896,7777,1581893792,Nicolaus Copernicus
8896,6666,1581893872,Daniel Bernoulli
8896,7777,1581893939,Richard Stallman
8896,7777,1581894024,Graham Bell
8896,6666,1581894075,Aristotle
8896,7777,1581894147,Nicolaus Copernicus
8896,6666,1581894203,Archimedes
8896,6666,1581894284,Richard Stallman
8896,7777,1581894366,Archimedes
8896,7777,1581894400,Nicolaus Copernicus
8896,7777,1581894636,Archimedes
8896,6666,1581894757,Donald Knuth
8896,6666,1581894826,Donald Knuth
8896,6666,1581894890,Aristotle
8896,6666,1581894963,Richard Stallman
8896,7777,1581895034,Donald Knuth
8896,7777,1581895110,Carl Sassenrath
8896,6666,1581895147,Carl Sassenrath
8896,6666,1581895223,Aristotle
8896,6666,1581895268,Archimedes
6666,7777,1581895460,James Maxwell
6666,7777,1581895505,Heinrich Hertz
7777,6666,1581895552,Isaac Newton
7777,8896,1581895603,Linus Torvalds
6666,8896,1581895618,Charles Darwin
8896,7777,1581895624,Archimedes
7777,8896,1581895666,Nicolas Carnot
6666,7777,1581895673,Benjamin Franklin
7777,8896,1581895716,Brian Kernighan
7777,6666,1581895783,Leonhard Euler
6666,7777,1581895801,Benjamin Franklin
7777,8896,1581895816,Brian Kernighan
6666,8896,1581895851,Fibonacci
8896,7777,1581895870,Donald Knuth
7777,6666,1581895888,Albert Einstein
6666,8896,1581895930,James Maxwell
7777,6666,1581895939,Michael Faraday
7777,8896,1581896027,Michael Faraday
7777,8896,1581896069,Isaac Newton
8896,7777,1581896087,Aristotle
6666,8896,1581896107,Rene Descartes
7777,8896,1581896145,Brian Kernighan
8896,6666,1581896166,Aristotle
7777,6666,1581896203,Thales of Miletus
7777,6666,1581896251,Friedrich Gauss
8896,6666,1581896292,Aristotle

